Column1;Column2
Indonesia;Madura
bisakah anda membantu saya?;bisaa dhika abha?nto bula?? 
dikatakan kepada orang yang sangat miskin;aba?' ke?sa ce??ak gherra?ng 
diumpamakan sama seperti dirinya sendiri;e?se?kot ka aba?'na dhibi' 
badan segar kekuatan kembali seperti semula, rasa sakit telah hilang.;aba?' seggher kakowadha?n aba?li pole, rassa sake?' pas e?lang
kamu kapan akan ke rumahku;aba?'na bila? se? e?ntarra ka tang roma
kamu belum makan?.;aba?'na ghi' ta' ngakan?
lamanya lima abad.;abiddha? le?ma abad
orang itu agak gila;ore?ng ja?re?ya aba?k ghila?
saya mengembala sapi sampai siang hari.;se?ngko' ngowan sape? sampe?' ba?n-aba?n
burung rajawali terbang diangkasa, terbangnya melayang datar perlahan-laha;mano' se?ka' ngabbher e? ba?ng-aba?ng, pangaba?ngnga ngatang re?-le?re?
suruh tebang pohon singkong di utara, mengkudu buah pahit berwarna sangat putih, suruh lihat mumpung masih ada, karena besok saya hendak pulang.;soro raba?s parong pong ?a?ja?, billa? ce?' pote?na, soro aba?s pong-pong ghi' ba??a?, lagghu' se?ngko' mole?a 
kalau mengenakan pakaian berwarna merah kelihatan jelas dan tajam.;mon ngangghuy kalambhi aba?rna me?ra e?kate?la abbhra?
anak-anak semuanya senang makan brem.;na'-kana' pa?a? senneng ngakan abbhreng
kakak suka terhadap burung yang berbulu merah.;kaka' le?bur ?a? mano' se? abulu abha?ng
aduh! kok bisa begini.;abhu! ma' ba?riya?
mengangkat batu sangat berat.;ngangka' ba?to ce?' abhuddha?
saya sisakan, jangan dihabiska;se?ngko' dhinae?, jha? paabi'
tidak lama lagi;ta' abit pole?
jika meminjam jangan terlalu lama;mon nge?njha?m jha?' bit-abit
dari lamanya yang menangis sampai-sampai matanya memerah;?a?ri abiddha? se? nange?s, matana dha?gha? me?ra
sir-sir tumpang tindih ringgit, wadah untuk masak hampir pecah, jika menaksir jangan terlalu lama, jika berilai mau dilamar.;sir-sir tompang ringgit, jha?ra?ngan para' bha?saa, mon ngessir jha?' bit-abit, mon ajha?ng e?pe?ntaa 
paras muka ibu sangat pucat.;roba?na e?bhu ce?' acomma
tidak diketahui apa yang menjadi sebab permulaannya;ta' e?temmo ?a?'-a?a?'na
meskipun anak itu baik tapi tidak ada tegur sapanya;maske? kana' rowa becce?' tape? a?a?' sapa ologgha?
rumah yang tidak ada penghuninya itu dimasuki pencuri;roma se? a?a?' ore?ngnga rowa e?lebbhui male?ng
lebih mahal cita dari pada kain, mari jahitkan ke dhurinan, tidak ada kamu ada orang lain, mari cari yang lebih kering.;larang jhita ma??ha? kain, maju' se?kot ka dhurinan, a?a?' ba?'na ba??a? ore?ng lae?n, maju' nyare? se? gha?ringan 
aduh! ayamnya kok dilepas?.;a??a! aja?mma me?' e?paburu?
tetangganya baru saja mendirikan rumah yang baru.;tatanggha?na ghi' bhuru manaddhek roma anyar
orang Islam kalau sembahyang menghadap ke barat atau kiblat;ore?ng e?slam mon abha?ja?ng nga??hep ka ba?ra?' otaba? kiblat
karena sangat rindu aku sangat ingin bertemu denganmu.;sake?ng kerrongnga, bula? ce?' addhrengnga se? terro tatemmowa so dhika
mengapa orang yang telah mati masih diadzani?;arapa ore?ng se? ella mate? ma' ghi' e?adha?ne??
kalau sudah mendengar adzan subuh segera bangun lalu bersembahyang.;mon ella nge??ing adha?n sobbhu dhuli abungo pas abha?ja?ng
kebiasaan adat kuno;kebiyasaan adha?t kona
dikatakan kepada orang yang kurang ajar;mara adha?t ke??ang 
oh kasih dirimu semakin cantik hatiku terpesona;a?u le?' saja?n raddhin ate? bula? terros kape?ncot
oh mengapa aku tidak bisa memungkiri hati bahwa aku cinta padamu;?u anape?? bula? ta' bisa mongke?re? ate? jha?' bula? tare?sna ka dhika
aduh sangat dingi;a?u ce?' cellebbha?
mengusap air mata;ngosap ae?ng mata
air jeruk pecel;ae?ng jherruk pecel
saya ragu-ragu untuk datang.;se?ngko' gha?'-aggha?'a?n se? e?ntarra
anjing milik orang Cina itu sangat galak.;bhurussa? re?ng ce?na rowa ce?' agha?lla?
aduh sangat sakit.;agghu ce?' sake?'na
kelak jika saya sudah dewasa, ingin menjadi orang kaya.;ghu'-agghu' mon se?ngko' la dhiba?sa, terro dha?ddhia? ore?ng soghi
sangat ingin untuk segera sampai.;ce?' agherra? se? ?a?pa'a
coba jualkan barang saya.;jha?jha?l jhuwa?laghi tang bha?ra?ng
yang tertawa terkekeh-kekeh.;se? aghla? abhecikellan
hari Minggu paman akan pergi ke Sumenep.;are? ahad ghutte? e?ntarra ka songenep
yang paling akhir;se? pale?ng ahe?r
jika berbuat jahat kepada orang nanti dibalas di akhirat.;mon jahat ka ore?ng ?a?gghi' e?ba?les neng ahe?rat
lebih mahal ayam yang masih muda dari pada ayam yang sudah tua.;lebbi larang aja?m se? cor-lancor e?te?mbha?ng aja?m se? ella towa
sudah tiba saatnya anaknya untuk belajar bertata;ella ba?ja?na ana'na ajha?r atata
siapa dari barat itu, menanam talas dipinggir pagar, tidak ingatkah masa yang lalu? dirimu kala malas, enggan belajar;sapa ba?ra?' ro, namen tales pe?ngghir pagha?r, ta' e?nga' lamba?' ro, aba?' males sengka ajha?r 
ke jaddih lewat labang, membawa sangu uang satu ikat, belajar ngaji belajar sembahyang, agar punya sangu jika mati.;ka jha???hih le?ba?t laba?ng, asango pe?sse? satale?, ajha?r ngajhi ajha?r abha?ja?ng, ma' an?i' sango san mate? 
harga-harganya naik semua.;jhin-ajhina onggha? kabbhi
orang baru datang berhaji.;ore?ng ?a?teng ?a?ri ajjhia?n
anaknya yang sudah lahir tujuh hari cepat diakikahka;ana'na se? re?mbi' olle? pe?ttong are? dhuli e?ke?kae?
perahunya menyerang kapal malah tokek mati terkubur, sangat pintar yang menggunakan akal, malah suaminya dibuat tolol.;paraona nyerrang kapal, ma' tekke?' mate? tabhen?em, taona se? masang akkal, ma' lake?na se? e?pagen?eng 
menerima agama Islam;ngakoe? agha?ma e?slam
orang jujur biasanya mesti mengaku jika mempunyai kesalaha;ore?ng jhujhur biyasana moste? ngako bila? an?i' sala
disuruh untuk pinjam cangkul.;e?pakon nyambhut lan?u' 
belajarlah menolong orang lain juga teman-temanmu sendiri biar tampak rukun bertetangga hidup akan damai;ajha?r atatolong mongghu ?a?' ca-kancana, maakor atatanggha? o?i' rokon
bersaudara harus hidup ruku;paatong se? atare?tan
kalau memang malas jangan mencari-cari alasan yang tidak masuk akal.;mon lakar males jha?' re?-nyare? alasa?n se? ta' maso' akkal
para alim ulama.;para ale?m olama'
mengikuti politik burung unta;ngale?ng ka to' oddha? 
dikatakan kepada orang yang tidak kuat menyimpan rahasia.;le?ng-ngale?ng bunto'na te?kos 
alisnya seperti semut berjalan beriring.;ale?ssa a?a?un me?mbha? 
ilmu usul fiqih.;e?lmo ushul fikih
selesai berlari-lari sangat dahaga.;mare? ka'-berka'an pas ce?' alhangnga
minuman yang mengandung alkohol dilarang agama Islam.;e?noman se? ba??a? alkoholla e?larang agha?ma e?slam
orang mati jangan dipindah-pindah, kalau dipindah akan salah tempat pindahnya, orang laki dan perempuanjangan pilih-pilih kalau memilih banyak mendapat perkara kecil tapi bermasalah.;ore?ng mate? jha?' le?-alle? mon e?alle? sala alle?na, ore?ng lake?' bine?' jha?' le?-me?le? mon me?le? ba?nnya' sala te?pona 
pahlawan Trunojoyo telah tersohor dipulau Madura.;pahlawan Trunojoyo ampon kaalok e? polo Madhura?
kayu yang sudah lapuk.;kaju se? ella alpo'
dilempar sangat jauh;e?pangalto' ce?' jha?una
