Indonesia,Madura
bisakah aa membau saya?,bisaa dhika abhâo bulâ? 
dikatakakepada ora ya saat miskin,abâ' kèsa cèṭak gherrâ 
diumpamakasama seperti diria seiri,èsèkot ka abâ' dhibi' 
"badasegar kekuatakembali seperti semula, rasa sakit telah hila.","abà' seggher kakowadhâabâli pole, rassa sakè' pas èla"
kamu kapaakake rumahku,abâ' bilâ sè èarra ka ta roma
kamu belum maka.,abâ' ghi' ta' aka
lamaa lima abad.,abiddhâ lèma abad
ora itu agak gila,orè jârèya abâk ghilâ
saya meembala sapi sampai sia hari.,sèko' owasapè sampè' bâabân
"buru rajawali terba diakasa, terbaa melaya datar perlahalaha","ma' sèka' abbher è bâ-abâ, paabâa ata rè-lèrè"
"suruh teba pohosiko di utara, mekudu buah pahit berwar saat putih, suruh lihat mumpu masih ada, kare besok saya heak pula.","soro rabâs paro po ḍâjâ, billâ cè' potè, soro abâs po-po ghi' bâḍâ, lagghu' sèko' molèa "
kalau meekapakaiaberwar merah kelihatajelas datajam.,moaghuy kalambhi abâr mèra èkatèla abbhrâ
ak-ak semuaa se makabrem.,'-ka' paḍâ see akaabbhre
kakak suka terhadap buru ya berbulu merah.,kaka' lébur ḍâ ma' sè abulu abhâ
aduh! kok bisa begi.,abhu! ma' bâriyâ
meakat batu saat berat.,aka' bâto cè' abhuddhâ
saya sisaka jaadihabiska,"sèko' dhiè, jhâ paabi'"
tidak lama lagi,ta' abit polè
jika memiam jaaterlalu lama,moèhâm jhâ' bit-abit
dari lamaa ya meis sampai-sampai mataa memerah,"ḍâri abiddhâ sè ès, mata dhâghâ mèra"
"sir-sir tumpa tiih rigit, wadah uuk masak hampir pecah, jika meksir jaaterlalu lama, jika berilai mau dilamar.","sir-sir tompa rigit, jhârâapara' bhâsaa, moessir jhâ' bit-abit, moajhâ èpèaa "
paras muka ibu saat pucat.,robâ èbhu cè' acomma
tidak diketahui apa ya meadi sebab permulaaya,ta' ètemmo ḍâ'-aḍâ'
meskipuak itu baik tapi tidak ada tegur sapaa,maskè ka' rowa beccè' tapè aḍâ' sapa ologghâ
rumah ya tidak ada pehua itu dimasuki peuri,roma sè aḍâ' orèa rowa èlebbhui malè
lebih mahal cita dari pada kai mari jahitkake dhuri tidak ada kamu ada ora lai mari cari ya lebih keri.,lara jhita maḍḍhâ kai maju' sèkot ka dhuri aḍâ' bâ' bâḍâ orè laè maju' arè sè ghâria
aduh! ayama kok dilepas?.,aḍḍa! ajâmma mè' épaburu?
tetagaa baru saja meirikarumah ya baru.,tataghâ ghi' bhuru maddhek roma aar
ora Islam kalau sembahya mehadap ke barat atau kiblat,orè èslam moabhâjâ aḍḍhep ka bârâ' otabâ kiblat
kare saat riu aku saat iibertemu deau.,"sakè kerroa, bulâ cè' addhrea sè terro tatemmowa so dhika"
meapa ora ya telah mati masih diadza?,arapa orè sè ella matè ma' ghi' èadhầ?
kalau sudah meear adzasubuh segera baulalu bersembahya.,moella èḍi adhâsobbhu dhuli abuo pas abhâjâ
