Abstrac,label
Barisan Puan Maharani Presiden Resmi Deklarasi  https://t.co/usVq7PDJjO,pro
@yaniarsim @puanmaharani_ri Merasa Titisan Nyi loro kidul,kontra
"@Bjorkanism4 @puanmaharani_ri we Indonesians support you, many acts of oppression in Indonesia. and a lot of injustice for the little people in Indonesia.",pro
@Bjorkanism4 @puanmaharani_ri please help to dismantle the rottenness and injustice in Indonesia,pro
"MKD Tolak Laporan Pelanggaran Kode Etik Puan Maharani, Joko Priyoski: Kenapa Pelapor Tidak Diundang Sidang?  https://t.co/27ibALkn7L",kontra
Nah iya. Kan Efendi Simbolon dari PDIP. Tinggal kontak @puanmaharani_ri @budimandjatmiko @riekediahp @PDI_Perjuangan,pro
"Udahlah buk ketua @PDI_Perjuangan, ga usah dipaksain mba @puanmaharani_ri maju Pilpres dah.. Zonk ntar. 😌",kontra
"@Nasi8Jagung @Subur0204 @DDRezhaa @puanmaharani_ri @jokowi @ganjarpranowo Ini bgs juga ramalannya. Namany politik ya  Kalau boleh, aku ikut sepakat ya 🤓",pro
Mana berani MKD @DPR_RI kepada anak mami @puanmaharani_ri ??!  Inilah istilah kekuasaan bukan keadilan.,pro
@YadieSofiadi22 Silahkan dipecat simbolon wahai orang orang yg sementara di @PDI_Perjuangan @puanmaharani_ri .,kontra
"@DamaiHariLubis @Subur0204 @DDRezhaa @puanmaharani_ri Kayaknya, posisi ketum nanti nggak jatuh ke @puanmaharani_ri. Sepeninggal Mbah Mega, 3-4 tahun lagi, bisa jadi diserobot sama anaknya @jokowi yang sudah bisa di solo atau bisa jadi sama @ganjarpranowo &amp; buzzerpnya  Kalau adian, budiman, hasto, atau si oneng ya jelas kelibas",kontra
"@yaniarsim @puanmaharani_ri @DPR_RI Coba ultahnya di luar gedung bareng pendemo, pasti keren, bak PKS WO kemarin",pro
"Sindir Ketua DPR, Mahasiswa Aksi Teatrikal Topeng Puan Maharani Diiringi Lagu Selamat Ulang Tahun  https://t.co/FIRLkARtvS",kontra
"@Subur0204 @DDRezhaa Lapor Mbak @puanmaharani_ri ada yg mau khianat, ada juga yg mau ikut2 face Mbak tuch. Tapi mihaknya kayaknya ke ....🤓 Jgn ksh itu orang masuk ke Istana  ""Biarkan hujan turun dari langit""",pro
@yaniarsim @puanmaharani_ri 😂😂😂😂🤦emang sotoy,kontra
